# MEAN_SAMPLE_SIZE = 68990
# TOTAL_GENES = 15085
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Ependyma_Ccdc153_Ccdc153.1_1        COVAR   15085   -0.0088954    -0.023322    0.0046153      0.97302 Ependyma_Ccdc153_Ccdc153.1_1
Neuron_Gad1Gad2_Drd1-Fos.10_1       COVAR   15085     0.030562     0.085628    0.0075598   2.6553e-05 Neuron_Gad1Gad2_Drd1-Fos.10_1
Neuron_Gad1Gad2_Drd1-Lypd1.1...     COVAR   15085     0.036466      0.10157     0.008059   3.0466e-06 Neuron_Gad1Gad2_Drd1-Lypd1.10_2
Neuron_Gad1Gad2_Drd1-Pde1a.1...     COVAR   15085     0.026643     0.074612    0.0079121   0.00038046 Neuron_Gad1Gad2_Drd1-Pde1a.10_3
Neuron_Gad1Gad2_Drd1-Nefm.10...     COVAR   15085     0.037733      0.10499     0.007807   6.7884e-07 Neuron_Gad1Gad2_Drd1-Nefm.10_4
Neuron_Gad1Gad2_Drd1-Cxcl14....     COVAR   15085     0.037856      0.10651    0.0070473   3.9633e-08 Neuron_Gad1Gad2_Drd1-Cxcl14.10_5
Neuron_Gad1Gad2_Adora2a-Nefm...     COVAR   15085     0.036129      0.10033    0.0078719   2.2397e-06 Neuron_Gad1Gad2_Adora2a-Nefm.11_1
Neuron_Gad1Gad2_Adora2a-Nnat...     COVAR   15085     0.036603      0.10167    0.0083003    5.212e-06 Neuron_Gad1Gad2_Adora2a-Nnat.11_2
Neuron_Gad1Gad2_Adora2a-Fos....     COVAR   15085     0.032717     0.091868    0.0075172   6.7832e-06 Neuron_Gad1Gad2_Adora2a-Fos.11_3
Neuron_Gad1Gad2-Chat-Slc17a8...     COVAR   15085    0.0055559     0.015486    0.0062514      0.18707 Neuron_Gad1Gad2-Chat-Slc17a8_Chat.12_1
Neuron_Gad1Gad2_Drd1-Tpbg.13...     COVAR   15085     0.025073     0.070592    0.0074364   0.00037469 Neuron_Gad1Gad2_Drd1-Tpbg.13_1
Neuron_Gad1Gad2_Drd1-Nfib.13...     COVAR   15085    0.0076556     0.023111    0.0047512     0.053571 Neuron_Gad1Gad2_Drd1-Nfib.13_10
Neuron_Gad1Gad2_Sgol2a.13_11        COVAR   15085    0.0017177    0.0053514    0.0027326      0.26481 Neuron_Gad1Gad2_Sgol2a.13_11
Neuron_Gad1Gad2_Drd1-Otof-So...     COVAR   15085     0.029548     0.083092    0.0068765   8.7167e-06 Neuron_Gad1Gad2_Drd1-Otof-Sorcs1.13_2
Neuron_Gad1Gad2_Drd1-Otof-Lm...     COVAR   15085      0.02402     0.068282    0.0067664   0.00019336 Neuron_Gad1Gad2_Drd1-Otof-Lmo2.13_3
Neuron_Gad1Gad2_Adora2a-Otof...     COVAR   15085     0.025142     0.071125    0.0066938   8.6688e-05 Neuron_Gad1Gad2_Adora2a-Otof.13_4
Neuron_Gad1Gad2_Adora2a-Th.1...     COVAR   15085     0.006617     0.019389    0.0059272      0.13214 Neuron_Gad1Gad2_Adora2a-Th.13_5
Neuron_Slc17a6_Oprk1.13_6           COVAR   15085    0.0030218    0.0097621    0.0032076      0.17308 Neuron_Slc17a6_Oprk1.13_6
Neuron_Slc17a7_Cplx3.13_7           COVAR   15085   -0.0032201   -0.0096327    0.0047259      0.75218 Neuron_Slc17a7_Cplx3.13_7
Neuron_Slc17a7_Dkk3.13_8            COVAR   15085    0.0044917      0.01398    0.0038823      0.12365 Neuron_Slc17a7_Dkk3.13_8
Neuron_Gad1Gad2_Resp18.13_9         COVAR   15085    0.0089652     0.025398    0.0066317     0.088221 Neuron_Gad1Gad2_Resp18.13_9
Neuron_Gad1Gad2_Pvalb_Pvalb-...     COVAR   15085    0.0099866     0.027762    0.0067575     0.069733 Neuron_Gad1Gad2_Pvalb_Pvalb-Megf11.14_1
Neuron_Gad1Gad2_Pnoc.14_2           COVAR   15085     0.002212    0.0068285    0.0040283      0.29147 Neuron_Gad1Gad2_Pnoc.14_2
